%Type ZVL-6 
%Version 3.20 
%Date 23.Nov 19 
%Mode ANALYZER 
%Center Freq 433500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 17000000.000000 Hz
%x-Axis LIN 
%Start 425000000.000000 Hz
%Stop 442000000.000000 Hz
%Ref Level 20.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.002500 s
%Trace Mode MAXHOLD 
%Detector MAXPEAK 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier OFF 
%Transducer OFF 
%Values 501 
430848000 7.8237886428833008 
430882000 7.8452367782592773 
430916000 7.8781294822692871 
430950000 7.8947148323059082 
430984000 7.946077823638916 
431018000 7.956242561340332 
431052000 8.0142087936401367 
431086000 8.0352783203125 
431120000 8.0530109405517578 
431154000 8.0841798782348633 
431188000 8.1135683059692383 
431222000 8.1408004760742187 
431256000 8.1684989929199219 
431290000 8.1795568466186523 
431324000 8.1981363296508789 
431358000 8.2166738510131836 
431392000 8.2371864318847656 
431426000 8.2488889694213867 
431460000 8.2678661346435547 
431494000 8.2835292816162109 
431528000 8.2938432693481445 
431562000 8.3064737319946289 
431596000 8.3137121200561523 
431630000 8.3274240493774414 
431664000 8.3366785049438477 
431698000 8.3401966094970703 
431732000 8.34814453125 
431766000 8.3542404174804687 
431800000 8.3527688980102539 
431834000 8.35406494140625 
431868000 8.3688201904296875 
431902000 8.3728771209716797 
431936000 8.38153076171875 
431970000 8.4004611968994141 
432004000 8.4004650115966797 
432038000 7.5282444953918457 
432072000 4.5275444984436035 
432106000 -1.6454141139984131 
432140000 -2.704582691192627 
432174000 -7.1059536933898926 
432208000 -10.26630973815918 
432242000 -11.92284107208252 
432276000 -13.141901016235352 
432310000 -14.022531509399414 
432344000 -14.443698883056641 
432378000 -15.787505149841309 
432412000 -16.389932632446289 
432446000 -16.802310943603516 
432480000 -17.746681213378906 
432514000 -17.575395584106445 
432548000 -17.099872589111328 
432582000 -16.711748123168945 
432616000 -15.497739791870117 
432650000 -14.878364562988281 
432684000 -14.02082347869873 
432718000 -12.411880493164063 
432752000 -11.138344764709473 
432786000 -10.542194366455078 
432820000 -6.4952468872070313 
432854000 -4.3556013107299805 
432888000 1.4234045743942261 
432922000 5.3109245300292969 
432956000 7.818580150604248 
432990000 8.5457639694213867 
433024000 8.5560722351074219 
433058000 8.5615930557250977 
433092000 8.568028450012207 
433126000 8.5803308486938477 
433160000 8.5702419281005859 
433194000 8.5693292617797852 
433228000 8.5728206634521484 
433262000 8.5719089508056641 
433296000 8.5630950927734375 
433330000 8.5559320449829102 
433364000 8.5533628463745117 
433398000 8.5566778182983398 
433432000 8.5496921539306641 
433466000 8.5321941375732422 
433500000 8.5266647338867187 
433534000 8.5248231887817383 
433568000 8.5120820999145508 
433602000 8.4982128143310547 
433636000 8.4774560928344727 
433670000 8.4848814010620117 
433704000 8.4703550338745117 
433738000 8.4420919418334961 
433772000 8.4406356811523437 
433806000 8.4109926223754883 
433840000 8.3933801651000977 
433874000 8.3762845993041992 
433908000 8.3504819869995117 
433942000 8.3414363861083984 
433976000 8.3242387771606445 
434010000 8.2934513092041016 
434044000 8.2695074081420898 
434078000 8.2340917587280273 
434112000 8.2106466293334961 
434146000 8.1829032897949219 
434180000 8.1559982299804687 
434214000 8.1262302398681641 
434248000 8.0946168899536133 
434282000 8.0709657669067383 
434316000 8.0388431549072266 
434350000 8.0190744400024414 
434384000 7.9963202476501465 
434418000 7.9775595664978027 
434452000 7.9510021209716797 
434486000 7.9265871047973633 
434520000 7.9094047546386719 
434554000 7.8832025527954102 
434588000 7.8766422271728516 
434622000 7.8627738952636719 
434656000 7.8452215194702148 
434690000 7.831667423248291 
434724000 7.8186445236206055 
434758000 7.8155274391174316 
434792000 7.7888550758361816 
434826000 7.7838835716247559 
434860000 7.773188591003418 
434894000 7.7462005615234375 
434928000 7.736572265625 
434962000 7.7155838012695313 
434996000 7.7023048400878906 
435030000 7.5442705154418945 
435064000 5.6210856437683105 
435098000 -0.38728490471839905 
435132000 -2.4631431102752686 
435166000 -5.964261531829834 
435200000 -8.8886051177978516 
435234000 -11.287065505981445 
435268000 -12.501700401306152 
435302000 -14.281394958496094 
435336000 -15.465701103210449 
435370000 -15.895090103149414 
435404000 -16.617284774780273 
435438000 -17.528995513916016 
435472000 -18.392284393310547 
435506000 -18.902980804443359 
435540000 -19.862495422363281 
435574000 -20.144462585449219 
435608000 -20.845466613769531 
435642000 -21.362054824829102 
435676000 -21.837997436523438 
435710000 -22.309774398803711 
435744000 -22.582794189453125 
435778000 -23.028047561645508 
